epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3585,1.62216,3.63698,2.65737,0.00027,0.07609,0.00176,0.00028,1.55609,0.4439,4.07042,1.3e-05,1.3e-05,0.087013
2,38.265,1.63574,0.64193,1.91638,8e-05,0.04545,0.00019,5e-05,1.94891,0.51748,2.44412,2.65545e-05,2.65545e-05,0.0730266
3,49.9298,1.08203,1.24931,0.6341,0.00045,0.06818,0.00044,0.00018,1.77822,0.57044,2.05899,3.9647e-05,3.9647e-05,0.0590396
4,61.6798,1.19411,0.97009,0.62173,0.00049,0.07386,0.00047,0.00015,1.53913,0.70277,1.53702,5.22775e-05,5.22775e-05,0.0450523
5,73.7144,0.92406,1.23118,0.47493,0.00091,0.13636,0.00097,0.00038,1.0864,1.07907,1.00294,6.4446e-05,6.4446e-05,0.0310644
6,90.9967,0.8381,1.24263,0.47239,0.00114,0.17045,0.00196,0.00072,0.88858,1.16402,0.68631,7.61525e-05,7.61525e-05,0.0170762
7,104.331,0.87907,1.13233,0.48486,0.00121,0.18182,0.00272,0.0009,0.81764,1.22761,0.58744,8.7397e-05,8.7397e-05,0.0030874
8,115.907,0.89817,1.10938,0.46407,0.00136,0.20455,0.00249,0.00098,0.71556,1.34164,0.51267,8.845e-05,8.845e-05,8.845e-05
9,132.192,0.84461,1.14306,0.42344,0.00133,0.19886,0.00382,0.00138,0.69957,1.35695,0.47345,8.68e-05,8.68e-05,8.68e-05
10,144.509,0.81387,1.19362,0.42708,0.0094,0.24432,0.01044,0.00332,0.65197,1.40928,0.41485,8.515e-05,8.515e-05,8.515e-05
11,160.521,0.7607,1.23204,0.40437,0.00531,0.26136,0.009,0.0038,0.62397,1.44411,0.40788,8.35e-05,8.35e-05,8.35e-05
12,175.35,0.74322,1.24513,0.39745,0.00529,0.35227,0.03695,0.01438,0.60327,1.47324,0.4051,8.185e-05,8.185e-05,8.185e-05
13,186.496,0.70203,1.2835,0.37884,0.00377,0.39773,0.04931,0.02085,0.5952,1.49474,0.39885,8.02e-05,8.02e-05,8.02e-05
14,209.243,0.75,1.2392,0.3919,0.01482,0.39155,0.0823,0.03593,0.59066,1.50666,0.38904,7.855e-05,7.855e-05,7.855e-05
15,226.492,0.77468,1.17811,0.4391,0.01136,0.37401,0.07432,0.03227,0.59278,1.51129,0.39585,7.69e-05,7.69e-05,7.69e-05
16,239.397,0.77371,1.18417,0.38065,0.01264,0.42836,0.08495,0.03905,0.58389,1.5264,0.38316,7.525e-05,7.525e-05,7.525e-05
17,252.878,0.72414,1.21527,0.37587,0.011,0.44862,0.09856,0.04036,0.58247,1.53057,0.37912,7.36e-05,7.36e-05,7.36e-05
18,266.943,0.73709,1.19695,0.35766,0.00886,0.48172,0.08686,0.03873,0.5818,1.54779,0.37243,7.195e-05,7.195e-05,7.195e-05
19,284.873,0.65262,1.32158,0.33026,0.00798,0.48691,0.08671,0.03829,0.57582,1.55432,0.36427,7.03e-05,7.03e-05,7.03e-05
20,300.512,0.66584,1.32558,0.33236,0.00719,0.49209,0.08946,0.0389,0.56679,1.57474,0.35698,6.865e-05,6.865e-05,6.865e-05
21,315.224,0.68305,1.26051,0.334,0.01081,0.52024,0.10452,0.04298,0.54465,1.60693,0.34186,6.7e-05,6.7e-05,6.7e-05
22,326.958,0.62631,1.3647,0.30471,0.01462,0.677,0.16215,0.06796,0.54029,1.61832,0.3247,6.535e-05,6.535e-05,6.535e-05
23,338.409,0.64739,1.28083,0.308,0.01493,0.70387,0.14942,0.0622,0.5373,1.62213,0.33384,6.37e-05,6.37e-05,6.37e-05
24,348.488,0.6982,1.25476,0.3294,0.03509,0.55589,0.14683,0.06135,0.53739,1.61988,0.33849,6.205e-05,6.205e-05,6.205e-05
25,359.23,0.62236,1.37242,0.34354,0.01844,0.47931,0.13589,0.05953,0.54324,1.6144,0.33016,6.04e-05,6.04e-05,6.04e-05
26,369.982,0.64396,1.32956,0.3096,0.01891,0.48004,0.15601,0.06371,0.52702,1.62412,0.32906,5.875e-05,5.875e-05,5.875e-05
27,380.753,0.67645,1.25039,0.29872,0.02031,0.4914,0.15597,0.06025,0.52215,1.62642,0.33003,5.71e-05,5.71e-05,5.71e-05
28,392.061,0.62655,1.31991,0.31318,0.01716,0.49709,0.14026,0.05812,0.52054,1.62486,0.32208,5.545e-05,5.545e-05,5.545e-05
29,405.07,0.65854,1.26982,0.30607,0.01269,0.50772,0.15482,0.06683,0.51812,1.61835,0.33634,5.38e-05,5.38e-05,5.38e-05
30,416.589,0.60903,1.35,0.29666,0.01114,0.49636,0.13878,0.06003,0.52009,1.60568,0.32591,5.215e-05,5.215e-05,5.215e-05
31,430.667,0.60696,1.31555,0.27614,0.01199,0.50058,0.11704,0.05621,0.51877,1.6019,0.31747,5.05e-05,5.05e-05,5.05e-05
32,442.061,0.63085,1.30956,0.30573,0.02392,0.48354,0.12134,0.06199,0.51526,1.59494,0.31296,4.885e-05,4.885e-05,4.885e-05
33,453.213,0.64692,1.29559,0.35925,0.02669,0.55592,0.1257,0.05895,0.5092,1.59123,0.29799,4.72e-05,4.72e-05,4.72e-05
34,468.638,0.60447,1.28357,0.27605,0.03377,0.60062,0.11707,0.05785,0.51403,1.57377,0.30779,4.555e-05,4.555e-05,4.555e-05
35,478.831,0.5867,1.34168,0.31656,0.03215,0.63964,0.11882,0.06046,0.50047,1.58805,0.30313,4.39e-05,4.39e-05,4.39e-05
36,495.423,0.60732,1.28643,0.29816,0.03332,0.62682,0.12297,0.0643,0.49067,1.59369,0.2971,4.225e-05,4.225e-05,4.225e-05
37,506.293,0.64088,1.30619,0.30897,0.05442,0.56035,0.12073,0.06338,0.48313,1.59907,0.28909,4.06e-05,4.06e-05,4.06e-05
38,517.473,0.59279,1.31042,0.26964,0.15436,0.47507,0.12304,0.06564,0.47579,1.60507,0.28383,3.895e-05,3.895e-05,3.895e-05
39,528.528,0.55545,1.357,0.28207,0.29638,0.44751,0.12382,0.06467,0.47602,1.60358,0.27723,3.73e-05,3.73e-05,3.73e-05
40,538.856,0.54451,1.41873,0.28709,0.52151,0.42599,0.12418,0.0665,0.47079,1.60454,0.26828,3.565e-05,3.565e-05,3.565e-05
41,549.785,0.57843,1.31333,0.25102,0.52319,0.40676,0.12446,0.06916,0.46513,1.60664,0.27238,3.4e-05,3.4e-05,3.4e-05
42,561.204,0.57244,1.35489,0.27835,0.52249,0.40035,0.11227,0.06575,0.46256,1.6053,0.27486,3.235e-05,3.235e-05,3.235e-05
43,571.979,0.55148,1.31646,0.26195,0.52345,0.39757,0.12548,0.07131,0.45703,1.61271,0.27061,3.07e-05,3.07e-05,3.07e-05
44,582.903,0.59315,1.27146,0.25669,0.52323,0.41958,0.12043,0.06825,0.47086,1.59212,0.27712,2.905e-05,2.905e-05,2.905e-05
45,594.692,0.57651,1.31897,0.27051,0.52339,0.40035,0.12743,0.07056,0.46882,1.59156,0.28393,2.74e-05,2.74e-05,2.74e-05
46,607.298,0.57677,1.41024,0.27406,0.5244,0.40035,0.13049,0.07178,0.46727,1.58172,0.29212,2.575e-05,2.575e-05,2.575e-05
47,618.761,0.5908,1.26282,0.27131,0.52443,0.40035,0.13459,0.07122,0.46016,1.58944,0.28079,2.41e-05,2.41e-05,2.41e-05
48,633.95,0.54903,1.32889,0.25161,0.52447,0.40035,0.13757,0.07103,0.46255,1.57555,0.30341,2.245e-05,2.245e-05,2.245e-05
49,646.125,0.52818,1.37869,0.28302,0.52466,0.40035,0.13809,0.0714,0.46115,1.57691,0.30163,2.08e-05,2.08e-05,2.08e-05
50,659.694,0.56306,1.36012,0.28674,0.52468,0.40676,0.15018,0.0775,0.46129,1.5761,0.28829,1.915e-05,1.915e-05,1.915e-05
51,673.3,0.46654,1.59252,0.2414,0.52364,0.40676,0.13985,0.0774,0.46751,1.56431,0.27647,1.75e-05,1.75e-05,1.75e-05
